show,show_type,show_universe
Game of Thrones,series,Game of Thrones
Breaking Bad,series,Breaking Bad
Stranger Things,series,Stranger Things
Orphan Black,series,Orphan Black
Vikings,series,Vikings
Puella Magi Madoka Magica,series,Puella Magi Madoka Magica
Sherlock,series,Sherlock
13 Reasons Why,series,13 Reasons Why
Harry Potter,movie,Harry Potter
The Lord of the Rings,movie,Middle-earth
Jessica Jones,series,Marvel
Iron Man,movie,Marvel
Money Heist,series,Money Heist
Tengen Toppa Gurren Lagann,series,Tengen Toppa Gurren Lagann
