text_id,text
memorial_grounds_title,"Memorial Grounds"
blocked_account_message,"Your account has been blocked: you can't leave public flowers nor messages on graves anymore. You can leave temporary flowers, they just won't be registered."
registerd_welcome_message,"Here you can leave flowers or messages to your favourite characters. Messages will be reviewed by the maintenance of this cemetery for approval before they can be displayed to the public.To select a different type of flower than the default red rose, or to leave a message, click on the picture of the item type you wish to use here under."
unregistered_welcome_message,"You can click on a grave to leave a flower in memory of a character.Registered users can leave several types of flowers as well as messages."
chronological_order_label,"Chronological order"
popularity_label,"Popularity"
sort_graves_by_label,"Sort graves by:"
reload_button,"Reload"
leave_message_message,"Write here the message you want to leave. Other visitors will be able to see it once the cemetery maintenance will have approved it."
leave_message_button,"Leave message."
show_in_blacklist_message,"This is the cemetery of a show in your spoilers blacklist! Are you sure you want to view it?"
view_anyway_button,"View anyway."
season_capital_label,"Season"
episode_capital_label,"Episode"
flower," flower"
flowers," flowers"
